UOM,bird_size,date,product_group,quantity_produced
KG,XL,2018-06-29,RIB,99.98787878732263
KG,M,2018-06-29,THIGH,876.7272727272727
KG,L,2018-06-29,THIGH,219.20000000000002
KG,XL,2018-06-29,THIGH,0.15030303030303224
KG,XXL,2018-06-29,2JW,85.19999999999888
KG,M,2018-06-29,3JW JC,34.0
KG,L,2018-06-29,3JW JC,104.63999999999967
KG,XL,2018-06-29,3JW JC,60.72
KG,M,2018-06-29,DMT,73.35999999999999
KG,ML,2018-06-29,DMT,0.04
KG,L,2018-06-29,DMT,72.52
KG,XXL,2018-06-29,DMT,113.59999999999852
KG,M,2018-06-29,MJW,55.01999999999998
KG,ML,2018-06-29,MJW,0.03
KG,L,2018-06-29,MJW,54.39
KG,M,2018-06-30,BL BREAST,456.75
KG,XL,2018-06-30,BL BREAST,101.07999999999998
KG,L,2018-06-30,BSL BREAST,32.98000000000398
KG,XL,2018-06-30,BSL BREAST,101.07999999999998
KG,XL,2018-06-30,BSL OPEN CUT BRS,111.14999999999999
KG,XL,2018-06-30,BRS CUBE,218.11999999999998
KG,L,2018-06-30,BRS STRIP,32.98000000000398
KG,L,2018-06-30,FIL WOT,7.760000000000937
KG,XL,2018-06-30,FIL WOT,66.36
KG,M,2018-06-30,FIL,87.0
KG,XL,2018-06-30,FIL,24.240000000000002
KG,ML,2018-06-30,BL LEG,124.06999999999998
KG,L,2018-06-30,BS DS,139.98000000000025
KG,S,2018-06-30,BSL LEG CUBE,71.5199999999999
KG,XXL,2018-06-30,BSL LEG CUBE,64.96000000000001
KG,S,2018-06-30,BL THI,150.0
KG,L,2018-06-30,BSL THI,233.3000000000004
KG,ML,2018-06-30,BSL LEG (2 CUT),11.040000000000001
KG,XL,2018-06-30,BSL LEG (2 CUT),103.68000000045066
KG,L,2018-06-30,PIECE CUT,45.54
KG,XL,2018-06-30,PIECE CUT,135.96
KG,S,2018-06-30,3JW MC,203.6399999999999
KG,M,2018-06-30,3JW MC,406.32
KG,ML,2018-06-30,3JW MC,125.75999999999999
KG,L,2018-06-30,3JW MC,283.08000000000004
KG,XL,2018-06-30,3JW MC,187.32
KG,XXL,2018-06-30,3JW MC,111.60000000000056
KG,XXL,2018-06-30,SWBH,63.8999999999998
KG,ML,2018-06-30,CUBE23,47.51999999999999
KG,L,2018-06-30,CUBE23,13.860000000000001
KG,S,2018-06-30,DS,150.0
KG,M,2018-06-30,DS,338.6
KG,XL,2018-06-30,DS,121.29999999971835
KG,ML,2018-06-30,CUBE3,1.7763568394002505e-15
KG,S,2018-06-30,KEEL,152.72999999999993
KG,M,2018-06-30,KEEL,108.98999999999997
KG,ML,2018-06-30,KEEL,87.84
KG,L,2018-06-30,KEEL,219.23999999999828
KG,XXL,2018-06-30,KEEL,64.53000000000048
KG,ML,2018-06-30,QLEG,71.12
KG,L,2018-06-30,QLEG,83.16000000000001
KG,XL,2018-06-30,QLEG,113.12
KG,XXL,2018-06-30,QLEG,146.72000000000136
KG,S,2018-06-30,RIB,339.3999999999999
KG,M,2018-06-30,RIB,242.19999999999996
KG,ML,2018-06-30,RIB,195.20000000000002
KG,L,2018-06-30,RIB,487.1999999999962
KG,XXL,2018-06-30,RIB,143.40000000000109
KG,M,2018-06-30,THIGH,541.76
KG,XL,2018-06-30,THIGH,194.07999999954933
KG,L,2018-06-30,3JW JC,23.36000000000032
KG,XL,2018-06-30,3JW JC,56.32
