UOM,bird_size,date,product_group,quantity_produced
KG,XL,2018-06-28,CUBE3,34.0
KG,S,2018-06-28,KEEL,49.0
KG,ML,2018-06-28,KEEL,45.0
KG,M,2018-06-28,QLEG,49.84
KG,S,2018-06-28,RIB,616.600000000005
KG,M,2018-06-28,RIB,3.0
KG,ML,2018-06-28,RIB,40.0
KG,S,2018-06-28,THIGH,45.0
KG,M,2018-06-28,THIGH,44.0
KG,ML,2018-06-28,THIGH,107.0
KG,XXL,2018-06-28,THIGH,50.0
KG,M,2018-06-28,2JW,106.0
KG,ML,2018-06-28,2JW,13.0
KG,L,2018-06-28,2JW,45.0
KG,M,2018-06-28,3JW JC,119.0
KG,XXL,2018-06-28,DMT,32.0
KG,S,2018-06-28,MJW,25.0
KG,L,2018-06-29,BL BREAST,3.0
KG,L,2018-06-29,BSL BREAST,45.0
KG,S,2018-06-29,BSL OPEN CUT BRS,46.0
KG,ML,2018-06-29,BSL BFLY BREAST,6.0
KG,XL,2018-06-29,BSL BFLY BREAST,69.0
KG,L,2018-06-29,BRS STRIP,134.0
KG,ML,2018-06-29,CHOP,159.0
KG,M,2018-06-29,FIL WOT,90.0
KG,XL,2018-06-29,FIL WOT,8.0
KG,S,2018-06-29,FIL,3.0
KG,L,2018-06-29,FIL,20.0
KG,XXL,2018-06-29,BSL LEG,0.0799999999999983
KG,L,2018-06-29,BS DS,39.0
KG,XXL,2018-06-29,BS DS,145.0
KG,XL,2018-06-29,BSL LEG CUBE,0.03999999999999204
KG,ML,2018-06-29,BL THI,122.0
KG,XXL,2018-06-29,BL THI,34.0
KG,ML,2018-06-29,BSL LEG (2 CUT),56.0
KG,M,2018-06-29,SWBH,18.0
KG,XL,2018-06-29,SWBH,0.2
KG,S,2018-06-29,CUBE23,35.0
KG,L,2018-06-29,CUBE23,47.99999999999999
KG,XXL,2018-06-29,CUBE23,7.0
KG,XL,2018-06-29,CUBE,88.0
KG,XL,2018-06-29,DS,18.0
KG,L,2018-06-29,CUBE3,48.0
KG,XL,2018-06-29,KEEL,45.0
KG,XXL,2018-06-29,KEEL,20.0
KG,S,2018-06-29,QLEG,13.0
KG,M,2018-06-29,QLEG,0.1599999999999966
KG,S,2018-06-29,3JW JC,15.0
KG,XXL,2018-06-29,3JW JC,24.0
KG,M,2018-06-29,DMT,12.0
KG,M,2018-06-29,MJW,55.0
KG,S,2018-06-30,BL BREAST,0.02999999998509395
KG,XL,2018-06-30,BL BREAST,40.0
KG,S,2018-06-30,BSL OPEN CUT BRS,13.0
KG,M,2018-06-30,BL LEG,7.0
KG,M,2018-06-30,BS DS,40.0
KG,S,2018-06-30,SWBH,0.09999999999999432
KG,M,2018-06-30,CUBE,0.3200000000000074
KG,S,2018-06-30,DS,145.07999999999697
KG,ML,2018-06-30,RIB,222.24999999999994
KG,L,2018-06-30,RIB,10.0
KG,XL,2018-06-30,RIB,257.8
KG,M,2018-06-30,2JW,0.01999999999999602
KG,XXL,2018-06-30,DMT,29.7600000000015
KG,XL,2018-06-30,MJW,0.009999999999990905
