Products,keyfigure,Days,Value,ProdType
BLGS07595P24DC,fresh_sold,0,0,Fresh
BLGS07595P24DC,fresh_sold,1,0,Fresh
BLGS07595P24DC,fresh_sold,2,0,Fresh
BLGS07595P24DC,fresh_sold,3,0,Fresh
BLGS07595P24DC,fresh_sold,4,0,Fresh
CRB01924VP04DC,fresh_sold,0,0,Fresh
CRB01924VP04DC,fresh_sold,1,0,Fresh
CRB01924VP04DC,fresh_sold,2,0,Fresh
CRB01924VP04DC,fresh_sold,3,0,Fresh
CRB01924VP04DC,fresh_sold,4,0,Fresh
CLG022270K06DC,fresh_sold,0,0,Fresh
CLG022270K06DC,fresh_sold,1,43,Fresh
CLG022270K06DC,fresh_sold,2,43,Fresh
CLG022270K06DC,fresh_sold,3,43,Fresh
CLG022270K06DC,fresh_sold,4,43,Fresh
BBRSMF000K04DC,fresh_sold,0,0,Fresh
BBRSMF000K04DC,fresh_sold,1,4388,Fresh
BBRSMF000K04DC,fresh_sold,2,5230,Fresh
BBRSMF000K04DC,fresh_sold,3,5230,Fresh
BBRSMF000K04DC,fresh_sold,4,5230,Fresh
BBR0F0000K02DC,fresh_sold,0,0,Fresh
BBR0F0000K02DC,fresh_sold,1,319,Fresh
BBR0F0000K02DC,fresh_sold,2,319,Fresh
BBR0F0000K02DC,fresh_sold,3,319,Fresh
BBR0F0000K02DC,fresh_sold,4,319,Fresh
C3JWL0000K02DC,fresh_sold,0,0,Fresh
C3JWL0000K02DC,fresh_sold,1,0,Fresh
C3JWL0000K02DC,fresh_sold,2,0,Fresh
C3JWL0000K02DC,fresh_sold,3,0,Fresh
C3JWL0000K02DC,fresh_sold,4,0,Fresh
CDS0CU000K02DC,fresh_sold,0,0,Fresh
CDS0CU000K02DC,fresh_sold,1,1,Fresh
CDS0CU000K02DC,fresh_sold,2,3,Fresh
CDS0CU000K02DC,fresh_sold,3,42,Fresh
CDS0CU000K02DC,fresh_sold,4,42,Fresh
CRB015190K02DC,fresh_sold,0,0,Fresh
CRB015190K02DC,fresh_sold,1,0,Fresh
CRB015190K02DC,fresh_sold,2,0,Fresh
CRB015190K02DC,fresh_sold,3,123,Fresh
CRB015190K02DC,fresh_sold,4,123,Fresh
C9PCWBM20P18DC,fresh_sold,0,0,Fresh
C9PCWBM20P18DC,fresh_sold,1,1,Fresh
C9PCWBM20P18DC,fresh_sold,2,2,Fresh
C9PCWBM20P18DC,fresh_sold,3,2,Fresh
C9PCWBM20P18DC,fresh_sold,4,2,Fresh
BLG0F0000K02DC,fresh_sold,0,0,Fresh
BLG0F0000K02DC,fresh_sold,1,77,Fresh
BLG0F0000K02DC,fresh_sold,2,77,Fresh
BLG0F0000K02DC,fresh_sold,3,77,Fresh
BLG0F0000K02DC,fresh_sold,4,77,Fresh
PDMTF0000K02DC,fresh_sold,0,0,Fresh
PDMTF0000K02DC,fresh_sold,1,201,Fresh
PDMTF0000K02DC,fresh_sold,2,201,Fresh
PDMTF0000K02DC,fresh_sold,3,201,Fresh
PDMTF0000K02DC,fresh_sold,4,201,Fresh
C3JW0913VP06DC,fresh_sold,0,0,Fresh
C3JW0913VP06DC,fresh_sold,1,0,Fresh
C3JW0913VP06DC,fresh_sold,2,0,Fresh
C3JW0913VP06DC,fresh_sold,3,0,Fresh
C3JW0913VP06DC,fresh_sold,4,0,Fresh
CKE01218VP04DC,fresh_sold,0,0,Fresh
CKE01218VP04DC,fresh_sold,1,0,Fresh
CKE01218VP04DC,fresh_sold,2,0,Fresh
CKE01218VP04DC,fresh_sold,3,0,Fresh
CKE01218VP04DC,fresh_sold,4,0,Fresh
CRB015190K06DC,fresh_sold,0,0,Fresh
CRB015190K06DC,fresh_sold,1,0,Fresh
CRB015190K06DC,fresh_sold,2,0,Fresh
CRB015190K06DC,fresh_sold,3,2,Fresh
CRB015190K06DC,fresh_sold,4,2,Fresh
CRB019240K02DC,fresh_sold,0,0,Fresh
CRB019240K02DC,fresh_sold,1,230,Fresh
CRB019240K02DC,fresh_sold,2,225,Fresh
CRB019240K02DC,fresh_sold,3,253,Fresh
CRB019240K02DC,fresh_sold,4,253,Fresh
BBRSF3540K02DC,fresh_sold,0,0,Fresh
BBRSF3540K02DC,fresh_sold,1,0,Fresh
BBRSF3540K02DC,fresh_sold,2,0,Fresh
BBRSF3540K02DC,fresh_sold,3,0,Fresh
BBRSF3540K02DC,fresh_sold,4,0,Fresh
BBRSF0000K02DC,fresh_sold,0,0,Fresh
BBRSF0000K02DC,fresh_sold,1,113,Fresh
BBRSF0000K02DC,fresh_sold,2,113,Fresh
BBRSF0000K02DC,fresh_sold,3,113,Fresh
BBRSF0000K02DC,fresh_sold,4,113,Fresh
BCH019220K02DC,fresh_sold,0,0,Fresh
BCH019220K02DC,fresh_sold,1,0,Fresh
BCH019220K02DC,fresh_sold,2,0,Fresh
BCH019220K02DC,fresh_sold,3,0,Fresh
BCH019220K02DC,fresh_sold,4,0,Fresh
CRB019240K06DC,fresh_sold,0,0,Fresh
CRB019240K06DC,fresh_sold,1,0,Fresh
CRB019240K06DC,fresh_sold,2,0,Fresh
CRB019240K06DC,fresh_sold,3,12,Fresh
CRB019240K06DC,fresh_sold,4,12,Fresh
BFL0F0000K02DC,fresh_sold,0,0,Fresh
BFL0F0000K02DC,fresh_sold,1,429,Fresh
BFL0F0000K02DC,fresh_sold,2,429,Fresh
BFL0F0000K02DC,fresh_sold,3,429,Fresh
BFL0F0000K02DC,fresh_sold,4,429,Fresh
CCHICU000K06DC,fresh_sold,0,0,Fresh
CCHICU000K06DC,fresh_sold,1,8,Fresh
CCHICU000K06DC,fresh_sold,2,27,Fresh
CCHICU000K06DC,fresh_sold,3,121,Fresh
CCHICU000K06DC,fresh_sold,4,121,Fresh
BLGSF0000K02DC,fresh_sold,0,0,Fresh
BLGSF0000K02DC,fresh_sold,1,5,Fresh
BLGSF0000K02DC,fresh_sold,2,5,Fresh
BLGSF0000K02DC,fresh_sold,3,5,Fresh
BLGSF0000K02DC,fresh_sold,4,5,Fresh
BTH005565K06DC,fresh_sold,0,0,Fresh
BTH005565K06DC,fresh_sold,1,0,Fresh
BTH005565K06DC,fresh_sold,2,0,Fresh
BTH005565K06DC,fresh_sold,3,0,Fresh
BTH005565K06DC,fresh_sold,4,0,Fresh
BTHSMF02CK02DC,fresh_sold,0,0,Fresh
BTHSMF02CK02DC,fresh_sold,1,0,Fresh
BTHSMF02CK02DC,fresh_sold,2,0,Fresh
BTHSMF02CK02DC,fresh_sold,3,0,Fresh
BTHSMF02CK02DC,fresh_sold,4,0,Fresh
C3JW09120K04DC,fresh_sold,0,0,Fresh
C3JW09120K04DC,fresh_sold,1,0,Fresh
C3JW09120K04DC,fresh_sold,2,0,Fresh
C3JW09120K04DC,fresh_sold,3,0,Fresh
C3JW09120K04DC,fresh_sold,4,0,Fresh
BTHSMF0FFK04DC,fresh_sold,0,0,Fresh
BTHSMF0FFK04DC,fresh_sold,1,202,Fresh
BTHSMF0FFK04DC,fresh_sold,2,202,Fresh
BTHSMF0FFK04DC,fresh_sold,3,202,Fresh
BTHSMF0FFK04DC,fresh_sold,4,202,Fresh
BBRS1823FK02DC,fresh_sold,0,0,Fresh
BBRS1823FK02DC,fresh_sold,1,0,Fresh
BBRS1823FK02DC,fresh_sold,2,0,Fresh
BBRS1823FK02DC,fresh_sold,3,0,Fresh
BBRS1823FK02DC,fresh_sold,4,0,Fresh
C3JW09130K02DC,fresh_sold,0,0,Fresh
C3JW09130K02DC,fresh_sold,1,5,Fresh
C3JW09130K02DC,fresh_sold,2,19,Fresh
C3JW09130K02DC,fresh_sold,3,363,Fresh
C3JW09130K02DC,fresh_sold,4,363,Fresh
BFL003540K02DC,fresh_sold,0,0,Fresh
BFL003540K02DC,fresh_sold,1,0,Fresh
BFL003540K02DC,fresh_sold,2,0,Fresh
BFL003540K02DC,fresh_sold,3,0,Fresh
BFL003540K02DC,fresh_sold,4,0,Fresh
C3JW00BRUK02DC,fresh_sold,0,0,Fresh
C3JW00BRUK02DC,fresh_sold,1,0,Fresh
C3JW00BRUK02DC,fresh_sold,2,0,Fresh
C3JW00BRUK02DC,fresh_sold,3,0,Fresh
C3JW00BRUK02DC,fresh_sold,4,0,Fresh
CTH016210K02DC,fresh_sold,0,0,Fresh
CTH016210K02DC,fresh_sold,1,0,Fresh
CTH016210K02DC,fresh_sold,2,0,Fresh
CTH016210K02DC,fresh_sold,3,1115,Fresh
CTH016210K02DC,fresh_sold,4,999,Fresh
CDS010140K02DC,fresh_sold,0,0,Fresh
CDS010140K02DC,fresh_sold,1,345,Fresh
CDS010140K02DC,fresh_sold,2,195,Fresh
CDS010140K02DC,fresh_sold,3,633,Fresh
CDS010140K02DC,fresh_sold,4,633,Fresh
CDS008110K02DC,fresh_sold,0,0,Fresh
CDS008110K02DC,fresh_sold,1,711,Fresh
CDS008110K02DC,fresh_sold,2,752,Fresh
CDS008110K02DC,fresh_sold,3,752,Fresh
CDS008110K02DC,fresh_sold,4,694,Fresh
CDS01014VP06DC,fresh_sold,0,0,Fresh
CDS01014VP06DC,fresh_sold,1,0,Fresh
CDS01014VP06DC,fresh_sold,2,0,Fresh
CDS01014VP06DC,fresh_sold,3,0,Fresh
CDS01014VP06DC,fresh_sold,4,0,Fresh
CCHICU000K02DC,fresh_sold,0,0,Fresh
CCHICU000K02DC,fresh_sold,1,8,Fresh
CCHICU000K02DC,fresh_sold,2,9,Fresh
CCHICU000K02DC,fresh_sold,3,9,Fresh
CCHICU000K02DC,fresh_sold,4,9,Fresh
PDMTMF000150DC,fresh_sold,0,0,Fresh
PDMTMF000150DC,fresh_sold,1,201,Fresh
PDMTMF000150DC,fresh_sold,2,201,Fresh
PDMTMF000150DC,fresh_sold,3,222,Fresh
PDMTMF000150DC,fresh_sold,4,222,Fresh
CTH013160K02DC,fresh_sold,0,0,Fresh
CTH013160K02DC,fresh_sold,1,423,Fresh
CTH013160K02DC,fresh_sold,2,423,Fresh
CTH013160K02DC,fresh_sold,3,423,Fresh
CTH013160K02DC,fresh_sold,4,423,Fresh
C3JW07100K02DC,fresh_sold,0,0,Fresh
C3JW07100K02DC,fresh_sold,1,0,Fresh
C3JW07100K02DC,fresh_sold,2,0,Fresh
C3JW07100K02DC,fresh_sold,3,175,Fresh
C3JW07100K02DC,fresh_sold,4,175,Fresh
BBRS07595P24DC,fresh_sold,0,0,Fresh
BBRS07595P24DC,fresh_sold,1,0,Fresh
BBRS07595P24DC,fresh_sold,2,0,Fresh
BBRS07595P24DC,fresh_sold,3,0,Fresh
BBRS07595P24DC,fresh_sold,4,0,Fresh
BTHSF0000K02DC,fresh_sold,0,0,Fresh
BTHSF0000K02DC,fresh_sold,1,1,Fresh
BTHSF0000K02DC,fresh_sold,2,1,Fresh
BTHSF0000K02DC,fresh_sold,3,1,Fresh
BTHSF0000K02DC,fresh_sold,4,1,Fresh
CTH015180P12DC,fresh_sold,0,0,Fresh
CTH015180P12DC,fresh_sold,1,0,Fresh
CTH015180P12DC,fresh_sold,2,0,Fresh
CTH015180P12DC,fresh_sold,3,0,Fresh
CTH015180P12DC,fresh_sold,4,0,Fresh
BBRS1821FK02DC,fresh_sold,0,0,Fresh
BBRS1821FK02DC,fresh_sold,1,0,Fresh
BBRS1821FK02DC,fresh_sold,2,0,Fresh
BBRS1821FK02DC,fresh_sold,3,0,Fresh
BBRS1821FK02DC,fresh_sold,4,0,Fresh
C9PCGCH00P18DC,fresh_sold,0,0,Fresh
C9PCGCH00P18DC,fresh_sold,1,0,Fresh
C9PCGCH00P18DC,fresh_sold,2,0,Fresh
C9PCGCH00P18DC,fresh_sold,3,0,Fresh
C9PCGCH00P18DC,fresh_sold,4,0,Fresh
CTH01621VP04DC,fresh_sold,0,0,Fresh
CTH01621VP04DC,fresh_sold,1,0,Fresh
CTH01621VP04DC,fresh_sold,2,0,Fresh
CTH01621VP04DC,fresh_sold,3,0,Fresh
CTH01621VP04DC,fresh_sold,4,0,Fresh
C4PC00000P08DC,fresh_sold,0,0,Fresh
C4PC00000P08DC,fresh_sold,1,338,Fresh
C4PC00000P08DC,fresh_sold,2,339,Fresh
C4PC00000P08DC,fresh_sold,3,339,Fresh
C4PC00000P08DC,fresh_sold,4,339,Fresh
C9PC00000P18DC,fresh_sold,0,0,Fresh
C9PC00000P18DC,fresh_sold,1,0,Fresh
C9PC00000P18DC,fresh_sold,2,0,Fresh
C9PC00000P18DC,fresh_sold,3,0,Fresh
C9PC00000P18DC,fresh_sold,4,0,Fresh
BTHSMF000K04DC,fresh_sold,0,0,Fresh
BTHSMF000K04DC,fresh_sold,1,131,Fresh
BTHSMF000K04DC,fresh_sold,2,131,Fresh
BTHSMF000K04DC,fresh_sold,3,131,Fresh
BTHSMF000K04DC,fresh_sold,4,131,Fresh
CBRSH2332P10DC,fresh_sold,0,0,Fresh
CBRSH2332P10DC,fresh_sold,1,4073,Fresh
CBRSH2332P10DC,fresh_sold,2,4073,Fresh
CBRSH2332P10DC,fresh_sold,3,4073,Fresh
CBRSH2332P10DC,fresh_sold,4,4073,Fresh
BTH009100K06DC,fresh_sold,0,0,Fresh
BTH009100K06DC,fresh_sold,1,0,Fresh
BTH009100K06DC,fresh_sold,2,0,Fresh
BTH009100K06DC,fresh_sold,3,0,Fresh
BTH009100K06DC,fresh_sold,4,0,Fresh
CTH016190K02DC,fresh_sold,0,0,Fresh
CTH016190K02DC,fresh_sold,1,0,Fresh
CTH016190K02DC,fresh_sold,2,0,Fresh
CTH016190K02DC,fresh_sold,3,0,Fresh
CTH016190K02DC,fresh_sold,4,0,Fresh
BTH0F0000K02DC,fresh_sold,0,0,Fresh
BTH0F0000K02DC,fresh_sold,1,0,Fresh
BTH0F0000K02DC,fresh_sold,2,0,Fresh
BTH0F0000K02DC,fresh_sold,3,0,Fresh
BTH0F0000K02DC,fresh_sold,4,0,Fresh
BLG018230K02DC,fresh_sold,0,0,Fresh
BLG018230K02DC,fresh_sold,1,0,Fresh
BLG018230K02DC,fresh_sold,2,0,Fresh
BLG018230K02DC,fresh_sold,3,0,Fresh
BLG018230K02DC,fresh_sold,4,0,Fresh
BBRS16180K05DC,fresh_sold,0,0,Fresh
BBRS16180K05DC,fresh_sold,1,0,Fresh
BBRS16180K05DC,fresh_sold,2,0,Fresh
BBRS16180K05DC,fresh_sold,3,0,Fresh
BBRS16180K05DC,fresh_sold,4,0,Fresh
PMJWF0000K02DC,fresh_sold,0,0,Fresh
PMJWF0000K02DC,fresh_sold,1,3,Fresh
PMJWF0000K02DC,fresh_sold,2,3,Fresh
PMJWF0000K02DC,fresh_sold,3,3,Fresh
PMJWF0000K02DC,fresh_sold,4,3,Fresh
CDS010140P20DC,fresh_sold,0,0,Fresh
CDS010140P20DC,fresh_sold,1,22,Fresh
CDS010140P20DC,fresh_sold,2,22,Fresh
CDS010140P20DC,fresh_sold,3,22,Fresh
CDS010140P20DC,fresh_sold,4,22,Fresh
P3JW08100K02DC,fresh_sold,0,0,Fresh
P3JW08100K02DC,fresh_sold,1,93,Fresh
P3JW08100K02DC,fresh_sold,2,97,Fresh
P3JW08100K02DC,fresh_sold,3,97,Fresh
P3JW08100K02DC,fresh_sold,4,97,Fresh
BTH007585K04DC,fresh_sold,0,0,Fresh
BTH007585K04DC,fresh_sold,1,247,Fresh
BTH007585K04DC,fresh_sold,2,247,Fresh
BTH007585K04DC,fresh_sold,3,247,Fresh
BTH007585K04DC,fresh_sold,4,242,Fresh
BBRS2325FK06DC,fresh_sold,0,0,Fresh
BBRS2325FK06DC,fresh_sold,1,0,Fresh
BBRS2325FK06DC,fresh_sold,2,0,Fresh
BBRS2325FK06DC,fresh_sold,3,0,Fresh
BBRS2325FK06DC,fresh_sold,4,0,Fresh
CDS0J0000K02DF,frozen_sold,0,0,Frozen
CDS0J0000K02DF,frozen_sold,1,5,Frozen
CDS0J0000K02DF,frozen_sold,2,5,Frozen
CDS0J0000K02DF,frozen_sold,3,5,Frozen
CDS0J0000K02DF,frozen_sold,4,5,Frozen
P3JW00BRUK02DF,frozen_sold,0,0,Frozen
P3JW00BRUK02DF,frozen_sold,1,120,Frozen
P3JW00BRUK02DF,frozen_sold,2,120,Frozen
P3JW00BRUK02DF,frozen_sold,3,120,Frozen
P3JW00BRUK02DF,frozen_sold,4,120,Frozen
CKE0F0000K02DF,frozen_sold,0,0,Frozen
CKE0F0000K02DF,frozen_sold,1,140,Frozen
CKE0F0000K02DF,frozen_sold,2,140,Frozen
CKE0F0000K02DF,frozen_sold,3,140,Frozen
CKE0F0000K02DF,frozen_sold,4,140,Frozen
BTHS07595P24DF,frozen_sold,0,0,Frozen
BTHS07595P24DF,frozen_sold,1,431,Frozen
BTHS07595P24DF,frozen_sold,2,431,Frozen
BTHS07595P24DF,frozen_sold,3,431,Frozen
BTHS07595P24DF,frozen_sold,4,431,Frozen
PDMT04050K02DF,frozen_sold,0,0,Frozen
PDMT04050K02DF,frozen_sold,1,143,Frozen
PDMT04050K02DF,frozen_sold,2,143,Frozen
PDMT04050K02DF,frozen_sold,3,143,Frozen
PDMT04050K02DF,frozen_sold,4,143,Frozen
BTH0CU020K02DF,frozen_sold,0,0,Frozen
BTH0CU020K02DF,frozen_sold,1,36,Frozen
BTH0CU020K02DF,frozen_sold,2,36,Frozen
BTH0CU020K02DF,frozen_sold,3,36,Frozen
BTH0CU020K02DF,frozen_sold,4,36,Frozen
P3JW07090K02DF,frozen_sold,0,0,Frozen
P3JW07090K02DF,frozen_sold,1,128,Frozen
P3JW07090K02DF,frozen_sold,2,128,Frozen
P3JW07090K02DF,frozen_sold,3,128,Frozen
P3JW07090K02DF,frozen_sold,4,128,Frozen
PMJWMF000150DF,frozen_sold,0,0,Frozen
PMJWMF000150DF,frozen_sold,1,0,Frozen
PMJWMF000150DF,frozen_sold,2,0,Frozen
PMJWMF000150DF,frozen_sold,3,0,Frozen
PMJWMF000150DF,frozen_sold,4,0,Frozen
CLG026340K06DF,frozen_sold,0,0,Frozen
CLG026340K06DF,frozen_sold,1,22,Frozen
CLG026340K06DF,frozen_sold,2,22,Frozen
CLG026340K06DF,frozen_sold,3,22,Frozen
CLG026340K06DF,frozen_sold,4,22,Frozen
CDS0S0000K02DF,frozen_sold,0,0,Frozen
CDS0S0000K02DF,frozen_sold,1,41,Frozen
CDS0S0000K02DF,frozen_sold,2,41,Frozen
CDS0S0000K02DF,frozen_sold,3,41,Frozen
CDS0S0000K02DF,frozen_sold,4,41,Frozen
CLG022270P10DF,frozen_sold,0,0,Frozen
CLG022270P10DF,frozen_sold,1,71,Frozen
CLG022270P10DF,frozen_sold,2,71,Frozen
CLG022270P10DF,frozen_sold,3,71,Frozen
CLG022270P10DF,frozen_sold,4,71,Frozen
BLGS07595P24DF,frozen_sold,0,0,Frozen
BLGS07595P24DF,frozen_sold,1,1,Frozen
BLGS07595P24DF,frozen_sold,2,1,Frozen
BLGS07595P24DF,frozen_sold,3,1,Frozen
BLGS07595P24DF,frozen_sold,4,1,Frozen
CRB01924VP04DF,frozen_sold,0,0,Frozen
CRB01924VP04DF,frozen_sold,1,1,Frozen
CRB01924VP04DF,frozen_sold,2,1,Frozen
CRB01924VP04DF,frozen_sold,3,1,Frozen
CRB01924VP04DF,frozen_sold,4,1,Frozen
CLG022270K06DF,frozen_sold,0,0,Frozen
CLG022270K06DF,frozen_sold,1,33,Frozen
CLG022270K06DF,frozen_sold,2,33,Frozen
CLG022270K06DF,frozen_sold,3,33,Frozen
CLG022270K06DF,frozen_sold,4,33,Frozen
BBRSMF000K04DF,frozen_sold,0,0,Frozen
BBRSMF000K04DF,frozen_sold,1,0,Frozen
BBRSMF000K04DF,frozen_sold,2,0,Frozen
BBRSMF000K04DF,frozen_sold,3,0,Frozen
BBRSMF000K04DF,frozen_sold,4,0,Frozen
BBR0F0000K02DF,frozen_sold,0,0,Frozen
BBR0F0000K02DF,frozen_sold,1,22,Frozen
BBR0F0000K02DF,frozen_sold,2,22,Frozen
BBR0F0000K02DF,frozen_sold,3,22,Frozen
BBR0F0000K02DF,frozen_sold,4,22,Frozen
C3JWL0000K02DF,frozen_sold,0,0,Frozen
C3JWL0000K02DF,frozen_sold,1,185,Frozen
C3JWL0000K02DF,frozen_sold,2,185,Frozen
C3JWL0000K02DF,frozen_sold,3,185,Frozen
C3JWL0000K02DF,frozen_sold,4,185,Frozen
CDS0CU000K02DF,frozen_sold,0,0,Frozen
CDS0CU000K02DF,frozen_sold,1,35,Frozen
CDS0CU000K02DF,frozen_sold,2,35,Frozen
CDS0CU000K02DF,frozen_sold,3,35,Frozen
CDS0CU000K02DF,frozen_sold,4,35,Frozen
CRB015190K02DF,frozen_sold,0,0,Frozen
CRB015190K02DF,frozen_sold,1,79,Frozen
CRB015190K02DF,frozen_sold,2,79,Frozen
CRB015190K02DF,frozen_sold,3,79,Frozen
CRB015190K02DF,frozen_sold,4,79,Frozen
C9PCWBM20P18DF,frozen_sold,0,0,Frozen
C9PCWBM20P18DF,frozen_sold,1,66,Frozen
C9PCWBM20P18DF,frozen_sold,2,66,Frozen
C9PCWBM20P18DF,frozen_sold,3,66,Frozen
C9PCWBM20P18DF,frozen_sold,4,66,Frozen
BLG0F0000K02DF,frozen_sold,0,0,Frozen
BLG0F0000K02DF,frozen_sold,1,4,Frozen
BLG0F0000K02DF,frozen_sold,2,4,Frozen
BLG0F0000K02DF,frozen_sold,3,4,Frozen
BLG0F0000K02DF,frozen_sold,4,4,Frozen
PDMTF0000K02DF,frozen_sold,0,0,Frozen
PDMTF0000K02DF,frozen_sold,1,132,Frozen
PDMTF0000K02DF,frozen_sold,2,132,Frozen
PDMTF0000K02DF,frozen_sold,3,132,Frozen
PDMTF0000K02DF,frozen_sold,4,132,Frozen
C3JW0913VP06DF,frozen_sold,0,0,Frozen
C3JW0913VP06DF,frozen_sold,1,3,Frozen
C3JW0913VP06DF,frozen_sold,2,3,Frozen
C3JW0913VP06DF,frozen_sold,3,3,Frozen
C3JW0913VP06DF,frozen_sold,4,3,Frozen
CKE01218VP04DF,frozen_sold,0,0,Frozen
CKE01218VP04DF,frozen_sold,1,1,Frozen
CKE01218VP04DF,frozen_sold,2,1,Frozen
CKE01218VP04DF,frozen_sold,3,1,Frozen
CKE01218VP04DF,frozen_sold,4,1,Frozen
CRB015190K06DF,frozen_sold,0,0,Frozen
CRB015190K06DF,frozen_sold,1,0,Frozen
CRB015190K06DF,frozen_sold,2,0,Frozen
CRB015190K06DF,frozen_sold,3,0,Frozen
CRB015190K06DF,frozen_sold,4,0,Frozen
CRB019240K02DF,frozen_sold,0,0,Frozen
CRB019240K02DF,frozen_sold,1,124,Frozen
CRB019240K02DF,frozen_sold,2,124,Frozen
CRB019240K02DF,frozen_sold,3,124,Frozen
CRB019240K02DF,frozen_sold,4,124,Frozen
BBRSF3540K02DF,frozen_sold,0,0,Frozen
BBRSF3540K02DF,frozen_sold,1,44,Frozen
BBRSF3540K02DF,frozen_sold,2,44,Frozen
BBRSF3540K02DF,frozen_sold,3,44,Frozen
BBRSF3540K02DF,frozen_sold,4,44,Frozen
BBRSF0000K02DF,frozen_sold,0,0,Frozen
BBRSF0000K02DF,frozen_sold,1,84,Frozen
BBRSF0000K02DF,frozen_sold,2,84,Frozen
BBRSF0000K02DF,frozen_sold,3,84,Frozen
BBRSF0000K02DF,frozen_sold,4,84,Frozen
BCH019220K02DF,frozen_sold,0,0,Frozen
BCH019220K02DF,frozen_sold,1,538,Frozen
BCH019220K02DF,frozen_sold,2,538,Frozen
BCH019220K02DF,frozen_sold,3,538,Frozen
BCH019220K02DF,frozen_sold,4,538,Frozen
CRB019240K06DF,frozen_sold,0,0,Frozen
CRB019240K06DF,frozen_sold,1,0,Frozen
CRB019240K06DF,frozen_sold,2,0,Frozen
CRB019240K06DF,frozen_sold,3,0,Frozen
CRB019240K06DF,frozen_sold,4,0,Frozen
BFL0F0000K02DF,frozen_sold,0,0,Frozen
BFL0F0000K02DF,frozen_sold,1,232,Frozen
BFL0F0000K02DF,frozen_sold,2,232,Frozen
BFL0F0000K02DF,frozen_sold,3,232,Frozen
BFL0F0000K02DF,frozen_sold,4,232,Frozen
CCHICU000K06DF,frozen_sold,0,0,Frozen
CCHICU000K06DF,frozen_sold,1,370,Frozen
CCHICU000K06DF,frozen_sold,2,370,Frozen
CCHICU000K06DF,frozen_sold,3,370,Frozen
CCHICU000K06DF,frozen_sold,4,370,Frozen
BLGSF0000K02DF,frozen_sold,0,0,Frozen
BLGSF0000K02DF,frozen_sold,1,16,Frozen
BLGSF0000K02DF,frozen_sold,2,16,Frozen
BLGSF0000K02DF,frozen_sold,3,16,Frozen
BLGSF0000K02DF,frozen_sold,4,16,Frozen
BTH005565K06DF,frozen_sold,0,0,Frozen
