Products,ProdType,keyfigure,Days,Value,Priority
WBL1SPHFGP01DC,Fresh,fresh_sold,4,1147.0,2.0
CDS0CU000K02DC,Fresh,fresh_sold,0,0.0,2.0
CDS0CU000K02DC,Fresh,fresh_sold,1,42.0,2.0
CDS0CU000K02DC,Fresh,fresh_sold,2,42.0,2.0
CDS0CU000K02DC,Fresh,fresh_sold,3,42.0,2.0
CDS0CU000K02DC,Fresh,fresh_sold,4,42.0,2.0
PDMTMF000150DC,Fresh,fresh_sold,0,0.0,3.0
PDMTMF000150DC,Fresh,fresh_sold,1,300.0,3.0
PDMTMF000150DC,Fresh,fresh_sold,2,300.0,3.0
PDMTMF000150DC,Fresh,fresh_sold,3,0.0,3.0
PDMTMF000150DC,Fresh,fresh_sold,4,0.0,3.0
C9PCWBM20P18DC,Fresh,fresh_sold,0,0.0,2.0
C9PCWBM20P18DC,Fresh,fresh_sold,1,2.0,2.0
C9PCWBM20P18DC,Fresh,fresh_sold,2,2.0,2.0
C9PCWBM20P18DC,Fresh,fresh_sold,3,2.0,2.0
C9PCWBM20P18DC,Fresh,fresh_sold,4,2.0,2.0
MPORC9MDSP18DC,Fresh,fresh_sold,0,0.0,3.0
MPORC9MDSP18DC,Fresh,fresh_sold,1,14744.0,3.0
MPORC9MDSP18DC,Fresh,fresh_sold,2,14744.0,3.0
MPORC9MDSP18DC,Fresh,fresh_sold,3,14744.0,3.0
MPORC9MDSP18DC,Fresh,fresh_sold,4,14744.0,3.0
BLG0F0000K02DC,Fresh,fresh_sold,0,0.0,2.0
BLG0F0000K02DC,Fresh,fresh_sold,1,77.0,2.0
BLG0F0000K02DC,Fresh,fresh_sold,2,77.0,2.0
BLG0F0000K02DC,Fresh,fresh_sold,3,77.0,2.0
BLG0F0000K02DC,Fresh,fresh_sold,4,77.0,2.0
MPORWNDORP01DC,Fresh,fresh_sold,0,0.0,2.0
MPORWNDORP01DC,Fresh,fresh_sold,1,0.0,2.0
MPORWNDORP01DC,Fresh,fresh_sold,2,0.0,2.0
MPORWNDORP01DC,Fresh,fresh_sold,3,0.0,2.0
MPORWNDORP01DC,Fresh,fresh_sold,4,0.0,2.0
PDMTF0000K02DC,Fresh,fresh_sold,0,0.0,2.0
PDMTF0000K02DC,Fresh,fresh_sold,1,201.0,2.0
PDMTF0000K02DC,Fresh,fresh_sold,2,201.0,2.0
PDMTF0000K02DC,Fresh,fresh_sold,3,201.0,2.0
PDMTF0000K02DC,Fresh,fresh_sold,4,201.0,2.0
C3JW0913VP06DC,Fresh,fresh_sold,0,0.0,2.0
C3JW0913VP06DC,Fresh,fresh_sold,1,0.0,2.0
C3JW0913VP06DC,Fresh,fresh_sold,2,0.0,2.0
C3JW0913VP06DC,Fresh,fresh_sold,3,0.0,2.0
C3JW0913VP06DC,Fresh,fresh_sold,4,0.0,2.0
WNC03P000P03DC,Fresh,fresh_sold,0,0.0,2.0
WNC03P000P03DC,Fresh,fresh_sold,1,525.0,2.0
WNC03P000P03DC,Fresh,fresh_sold,2,525.0,2.0
WNC03P000P03DC,Fresh,fresh_sold,3,525.0,2.0
WNC03P000P03DC,Fresh,fresh_sold,4,525.0,2.0
MPORWBPM1P01DC,Fresh,fresh_sold,0,0.0,2.0
MPORWBPM1P01DC,Fresh,fresh_sold,1,0.0,2.0
MPORWBPM1P01DC,Fresh,fresh_sold,2,0.0,2.0
MPORWBPM1P01DC,Fresh,fresh_sold,3,0.0,2.0
MPORWBPM1P01DC,Fresh,fresh_sold,4,0.0,2.0
CRB015190K06DC,Fresh,fresh_sold,0,0.0,2.0
CRB015190K06DC,Fresh,fresh_sold,1,2.0,2.0
CRB015190K06DC,Fresh,fresh_sold,2,2.0,2.0
CRB015190K06DC,Fresh,fresh_sold,3,2.0,2.0
CRB015190K06DC,Fresh,fresh_sold,4,2.0,2.0
WBM1SP000P01DC,Fresh,fresh_sold,0,0.0,2.0
WBM1SP000P01DC,Fresh,fresh_sold,1,2015.0,2.0
WBM1SP000P01DC,Fresh,fresh_sold,2,2015.0,2.0
WBM1SP000P01DC,Fresh,fresh_sold,3,2015.0,2.0
WBM1SP000P01DC,Fresh,fresh_sold,4,2015.0,2.0
CRB019240K02DC,Fresh,fresh_sold,0,0.0,2.0
CRB019240K02DC,Fresh,fresh_sold,1,253.0,2.0
CRB019240K02DC,Fresh,fresh_sold,2,253.0,2.0
CRB019240K02DC,Fresh,fresh_sold,3,253.0,2.0
CRB019240K02DC,Fresh,fresh_sold,4,253.0,2.0
MPORWBPM1P02DC,Fresh,fresh_sold,0,0.0,2.0
MPORWBPM1P02DC,Fresh,fresh_sold,1,297.0,2.0
MPORWBPM1P02DC,Fresh,fresh_sold,2,297.0,2.0
MPORWBPM1P02DC,Fresh,fresh_sold,3,297.0,2.0
MPORWBPM1P02DC,Fresh,fresh_sold,4,297.0,2.0
BBRSF0000K02DC,Fresh,fresh_sold,0,0.0,2.0
BBRSF0000K02DC,Fresh,fresh_sold,1,113.0,2.0
BBRSF0000K02DC,Fresh,fresh_sold,2,113.0,2.0
BBRSF0000K02DC,Fresh,fresh_sold,3,113.0,2.0
BBRSF0000K02DC,Fresh,fresh_sold,4,113.0,2.0
MPORWM1HSP02DC,Fresh,fresh_sold,0,0.0,2.0
MPORWM1HSP02DC,Fresh,fresh_sold,1,246.0,2.0
MPORWM1HSP02DC,Fresh,fresh_sold,2,246.0,2.0
MPORWM1HSP02DC,Fresh,fresh_sold,3,246.0,2.0
MPORWM1HSP02DC,Fresh,fresh_sold,4,246.0,2.0
WBL1BP000P10DC,Fresh,fresh_sold,0,0.0,3.0
WBL1BP000P10DC,Fresh,fresh_sold,1,2586.0,3.0
WBL1BP000P10DC,Fresh,fresh_sold,2,2586.0,3.0
WBL1BP000P10DC,Fresh,fresh_sold,3,2586.0,3.0
WBL1BP000P10DC,Fresh,fresh_sold,4,2586.0,3.0
MPORWNDORP04DC,Fresh,fresh_sold,0,0.0,3.0
MPORWNDORP04DC,Fresh,fresh_sold,1,2990.0,3.0
MPORWNDORP04DC,Fresh,fresh_sold,2,2990.0,3.0
MPORWNDORP04DC,Fresh,fresh_sold,3,2990.0,3.0
MPORWNDORP04DC,Fresh,fresh_sold,4,2990.0,3.0
BLG018230K02DC,Fresh,fresh_sold,0,0.0,2.0
BLG018230K02DC,Fresh,fresh_sold,1,0.0,2.0
BLG018230K02DC,Fresh,fresh_sold,2,0.0,2.0
BLG018230K02DC,Fresh,fresh_sold,3,0.0,2.0
BLG018230K02DC,Fresh,fresh_sold,4,0.0,2.0
CRB019240K06DC,Fresh,fresh_sold,0,0.0,2.0
CRB019240K06DC,Fresh,fresh_sold,1,12.0,2.0
CRB019240K06DC,Fresh,fresh_sold,2,12.0,2.0
CRB019240K06DC,Fresh,fresh_sold,3,12.0,2.0
CRB019240K06DC,Fresh,fresh_sold,4,12.0,2.0
BFL0F0000K02DC,Fresh,fresh_sold,0,0.0,2.0
BFL0F0000K02DC,Fresh,fresh_sold,1,429.0,2.0
BFL0F0000K02DC,Fresh,fresh_sold,2,429.0,2.0
BFL0F0000K02DC,Fresh,fresh_sold,3,429.0,2.0
BFL0F0000K02DC,Fresh,fresh_sold,4,429.0,2.0
CCHICU000K06DC,Fresh,fresh_sold,0,0.0,2.0
CCHICU000K06DC,Fresh,fresh_sold,1,121.0,2.0
CCHICU000K06DC,Fresh,fresh_sold,2,121.0,2.0
CCHICU000K06DC,Fresh,fresh_sold,3,121.0,2.0
CCHICU000K06DC,Fresh,fresh_sold,4,121.0,2.0
BLGSF0000K02DC,Fresh,fresh_sold,0,0.0,2.0
BLGSF0000K02DC,Fresh,fresh_sold,1,5.0,2.0
BLGSF0000K02DC,Fresh,fresh_sold,2,5.0,2.0
BLGSF0000K02DC,Fresh,fresh_sold,3,5.0,2.0
BLGSF0000K02DC,Fresh,fresh_sold,4,5.0,2.0
BTH005565K06DC,Fresh,fresh_sold,0,0.0,2.0
BTH005565K06DC,Fresh,fresh_sold,1,0.0,2.0
BTH005565K06DC,Fresh,fresh_sold,2,0.0,2.0
BTH005565K06DC,Fresh,fresh_sold,3,0.0,2.0
BTH005565K06DC,Fresh,fresh_sold,4,0.0,2.0
BTHSMF02CK02DC,Fresh,fresh_sold,0,0.0,2.0
BTHSMF02CK02DC,Fresh,fresh_sold,1,0.0,2.0
BTHSMF02CK02DC,Fresh,fresh_sold,2,0.0,2.0
BTHSMF02CK02DC,Fresh,fresh_sold,3,0.0,2.0
BTHSMF02CK02DC,Fresh,fresh_sold,4,0.0,2.0
CKE01218VP04DC,Fresh,fresh_sold,0,0.0,2.0
CKE01218VP04DC,Fresh,fresh_sold,1,0.0,2.0
CKE01218VP04DC,Fresh,fresh_sold,2,0.0,2.0
CKE01218VP04DC,Fresh,fresh_sold,3,0.0,2.0
CKE01218VP04DC,Fresh,fresh_sold,4,0.0,2.0
WBM2SP000P01DC,Fresh,fresh_sold,0,0.0,2.0
WBM2SP000P01DC,Fresh,fresh_sold,1,4171.0,2.0
WBM2SP000P01DC,Fresh,fresh_sold,2,4171.0,2.0
WBM2SP000P01DC,Fresh,fresh_sold,3,4171.0,2.0
WBM2SP000P01DC,Fresh,fresh_sold,4,4171.0,2.0
MPORWKRBPP02DC,Fresh,fresh_sold,0,0.0,2.0
MPORWKRBPP02DC,Fresh,fresh_sold,1,0.0,2.0
MPORWKRBPP02DC,Fresh,fresh_sold,2,0.0,2.0
MPORWKRBPP02DC,Fresh,fresh_sold,3,0.0,2.0
MPORWKRBPP02DC,Fresh,fresh_sold,4,0.0,2.0
MPORWM1HSRETDC,Fresh,fresh_sold,0,0.0,2.0
MPORWM1HSRETDC,Fresh,fresh_sold,1,8.0,2.0
MPORWM1HSRETDC,Fresh,fresh_sold,2,8.0,2.0
MPORWM1HSRETDC,Fresh,fresh_sold,3,8.0,2.0
MPORWM1HSRETDC,Fresh,fresh_sold,4,8.0,2.0
C3JW09120K04DC,Fresh,fresh_sold,0,0.0,2.0
C3JW09120K04DC,Fresh,fresh_sold,1,0.0,2.0
C3JW09120K04DC,Fresh,fresh_sold,2,0.0,2.0
C3JW09120K04DC,Fresh,fresh_sold,3,0.0,2.0
C3JW09120K04DC,Fresh,fresh_sold,4,0.0,2.0
BTHSMF0FFK04DC,Fresh,fresh_sold,0,0.0,3.0
BTHSMF0FFK04DC,Fresh,fresh_sold,1,0.0,3.0
BTHSMF0FFK04DC,Fresh,fresh_sold,2,0.0,3.0
BTHSMF0FFK04DC,Fresh,fresh_sold,3,300.0,3.0
BTHSMF0FFK04DC,Fresh,fresh_sold,4,300.0,3.0
BBRS1823FK02DC,Fresh,fresh_sold,0,0.0,2.0
BBRS1823FK02DC,Fresh,fresh_sold,1,0.0,2.0
BBRS1823FK02DC,Fresh,fresh_sold,2,0.0,2.0
BBRS1823FK02DC,Fresh,fresh_sold,3,0.0,2.0
BBRS1823FK02DC,Fresh,fresh_sold,4,0.0,2.0
WBM1BP000P10DC,Fresh,fresh_sold,0,0.0,2.0
WBM1BP000P10DC,Fresh,fresh_sold,1,6.0,2.0
WBM1BP000P10DC,Fresh,fresh_sold,2,6.0,2.0
WBM1BP000P10DC,Fresh,fresh_sold,3,6.0,2.0
WBM1BP000P10DC,Fresh,fresh_sold,4,6.0,2.0
MPORWKR00P02DC,Fresh,fresh_sold,0,0.0,2.0
MPORWKR00P02DC,Fresh,fresh_sold,1,0.0,2.0
MPORWKR00P02DC,Fresh,fresh_sold,2,0.0,2.0
MPORWKR00P02DC,Fresh,fresh_sold,3,0.0,2.0
MPORWKR00P02DC,Fresh,fresh_sold,4,0.0,2.0
MPORWM1BPP02DC,Fresh,fresh_sold,0,0.0,2.0
MPORWM1BPP02DC,Fresh,fresh_sold,1,51.0,2.0
MPORWM1BPP02DC,Fresh,fresh_sold,2,51.0,2.0
MPORWM1BPP02DC,Fresh,fresh_sold,3,51.0,2.0
MPORWM1BPP02DC,Fresh,fresh_sold,4,51.0,2.0
C3JW09130K02DC,Fresh,fresh_sold,0,0.0,2.0
C3JW09130K02DC,Fresh,fresh_sold,1,363.0,2.0
C3JW09130K02DC,Fresh,fresh_sold,2,363.0,2.0
C3JW09130K02DC,Fresh,fresh_sold,3,363.0,2.0
C3JW09130K02DC,Fresh,fresh_sold,4,363.0,2.0
BFL003540K02DC,Fresh,fresh_sold,0,0.0,2.0
BFL003540K02DC,Fresh,fresh_sold,1,0.0,2.0
BFL003540K02DC,Fresh,fresh_sold,2,0.0,2.0
BFL003540K02DC,Fresh,fresh_sold,3,0.0,2.0
BFL003540K02DC,Fresh,fresh_sold,4,0.0,2.0
C3JW00BRUK02DC,Fresh,fresh_sold,0,0.0,2.0
C3JW00BRUK02DC,Fresh,fresh_sold,1,0.0,2.0
C3JW00BRUK02DC,Fresh,fresh_sold,2,0.0,2.0
C3JW00BRUK02DC,Fresh,fresh_sold,3,0.0,2.0
C3JW00BRUK02DC,Fresh,fresh_sold,4,0.0,2.0
CDS010140P20DC,Fresh,fresh_sold,0,0.0,2.0
CDS010140P20DC,Fresh,fresh_sold,1,22.0,2.0
CDS010140P20DC,Fresh,fresh_sold,2,22.0,2.0
CDS010140P20DC,Fresh,fresh_sold,3,22.0,2.0
CDS010140P20DC,Fresh,fresh_sold,4,22.0,2.0
MPORWNDORP02DC,Fresh,fresh_sold,0,0.0,3.0
MPORWNDORP02DC,Fresh,fresh_sold,1,348.0,3.0
MPORWNDORP02DC,Fresh,fresh_sold,2,348.0,3.0
MPORWNDORP02DC,Fresh,fresh_sold,3,348.0,3.0
MPORWNDORP02DC,Fresh,fresh_sold,4,348.0,3.0
CTH016210K02DC,Fresh,fresh_sold,0,0.0,2.0
CTH016210K02DC,Fresh,fresh_sold,1,1169.0,2.0
CTH016210K02DC,Fresh,fresh_sold,2,1169.0,2.0
CTH016210K02DC,Fresh,fresh_sold,3,1169.0,2.0
CTH016210K02DC,Fresh,fresh_sold,4,1169.0,2.0
CDS010140K02DC,Fresh,fresh_sold,0,0.0,2.0
CDS010140K02DC,Fresh,fresh_sold,1,633.0,2.0
CDS010140K02DC,Fresh,fresh_sold,2,633.0,2.0
CDS010140K02DC,Fresh,fresh_sold,3,633.0,2.0
CDS010140K02DC,Fresh,fresh_sold,4,633.0,2.0
WBM1SP0JDP01DC,Fresh,fresh_sold,0,0.0,2.0
WBM1SP0JDP01DC,Fresh,fresh_sold,1,0.0,2.0
WBM1SP0JDP01DC,Fresh,fresh_sold,2,0.0,2.0
WBM1SP0JDP01DC,Fresh,fresh_sold,3,0.0,2.0
WBM1SP0JDP01DC,Fresh,fresh_sold,4,0.0,2.0
BTHSF0000K02DC,Fresh,fresh_sold,0,0.0,2.0
BTHSF0000K02DC,Fresh,fresh_sold,1,1.0,2.0
BTHSF0000K02DC,Fresh,fresh_sold,2,1.0,2.0
BTHSF0000K02DC,Fresh,fresh_sold,3,1.0,2.0
BTHSF0000K02DC,Fresh,fresh_sold,4,1.0,2.0
WBM2BP000P10DC,Fresh,fresh_sold,0,0.0,3.0
WBM2BP000P10DC,Fresh,fresh_sold,1,6080.0,3.0
WBM2BP000P10DC,Fresh,fresh_sold,2,6080.0,3.0
WBM2BP000P10DC,Fresh,fresh_sold,3,6080.0,3.0
WBM2BP000P10DC,Fresh,fresh_sold,4,6080.0,3.0
BTH0CU020K02DC,Fresh,fresh_sold,0,0.0,2.0
BTH0CU020K02DC,Fresh,fresh_sold,1,0.0,2.0
BTH0CU020K02DC,Fresh,fresh_sold,2,0.0,2.0
BTH0CU020K02DC,Fresh,fresh_sold,3,0.0,2.0
BTH0CU020K02DC,Fresh,fresh_sold,4,0.0,2.0
CDS01014VP06DC,Fresh,fresh_sold,0,0.0,2.0
CDS01014VP06DC,Fresh,fresh_sold,1,0.0,2.0
CDS01014VP06DC,Fresh,fresh_sold,2,0.0,2.0
CDS01014VP06DC,Fresh,fresh_sold,3,0.0,2.0
CDS01014VP06DC,Fresh,fresh_sold,4,0.0,2.0
CCHICU000K02DC,Fresh,fresh_sold,0,0.0,2.0
CCHICU000K02DC,Fresh,fresh_sold,1,9.0,2.0
CCHICU000K02DC,Fresh,fresh_sold,2,9.0,2.0
CCHICU000K02DC,Fresh,fresh_sold,3,9.0,2.0
CCHICU000K02DC,Fresh,fresh_sold,4,9.0,2.0
MPORC9MD0P18DC,Fresh,fresh_sold,0,0.0,3.0
MPORC9MD0P18DC,Fresh,fresh_sold,1,3417.0,3.0
MPORC9MD0P18DC,Fresh,fresh_sold,2,3417.0,3.0
MPORC9MD0P18DC,Fresh,fresh_sold,3,3417.0,3.0
MPORC9MD0P18DC,Fresh,fresh_sold,4,3417.0,3.0
CRB015190K02DC,Fresh,fresh_sold,0,0.0,2.0
CRB015190K02DC,Fresh,fresh_sold,1,123.0,2.0
CRB015190K02DC,Fresh,fresh_sold,2,123.0,2.0
CRB015190K02DC,Fresh,fresh_sold,3,123.0,2.0
CRB015190K02DC,Fresh,fresh_sold,4,123.0,2.0
CTH013160K02DC,Fresh,fresh_sold,0,0.0,2.0
CTH013160K02DC,Fresh,fresh_sold,1,423.0,2.0
CTH013160K02DC,Fresh,fresh_sold,2,423.0,2.0
CTH013160K02DC,Fresh,fresh_sold,3,423.0,2.0
CTH013160K02DC,Fresh,fresh_sold,4,423.0,2.0
C3JW07100K02DC,Fresh,fresh_sold,0,0.0,2.0
C3JW07100K02DC,Fresh,fresh_sold,1,175.0,2.0
C3JW07100K02DC,Fresh,fresh_sold,2,175.0,2.0
C3JW07100K02DC,Fresh,fresh_sold,3,175.0,2.0
C3JW07100K02DC,Fresh,fresh_sold,4,175.0,2.0
MPORWHYM1P01DC,Fresh,fresh_sold,0,0.0,2.0
MPORWHYM1P01DC,Fresh,fresh_sold,1,0.0,2.0
MPORWHYM1P01DC,Fresh,fresh_sold,2,0.0,2.0
MPORWHYM1P01DC,Fresh,fresh_sold,3,0.0,2.0
MPORWHYM1P01DC,Fresh,fresh_sold,4,0.0,2.0
MPORWHYM1P02DC,Fresh,fresh_sold,0,0.0,2.0
MPORWHYM1P02DC,Fresh,fresh_sold,1,125.0,2.0
MPORWHYM1P02DC,Fresh,fresh_sold,2,125.0,2.0
MPORWHYM1P02DC,Fresh,fresh_sold,3,125.0,2.0
MPORWHYM1P02DC,Fresh,fresh_sold,4,125.0,2.0
BBRSF3540K02DC,Fresh,fresh_sold,0,0.0,2.0
BBRSF3540K02DC,Fresh,fresh_sold,1,0.0,2.0
BBRSF3540K02DC,Fresh,fresh_sold,2,0.0,2.0
BBRSF3540K02DC,Fresh,fresh_sold,3,0.0,2.0
BBRSF3540K02DC,Fresh,fresh_sold,4,0.0,2.0
MPORWKR00P10DC,Fresh,fresh_sold,0,0.0,3.0
MPORWKR00P10DC,Fresh,fresh_sold,1,2285.0,3.0
MPORWKR00P10DC,Fresh,fresh_sold,2,2285.0,3.0
MPORWKR00P10DC,Fresh,fresh_sold,3,2285.0,3.0
MPORWKR00P10DC,Fresh,fresh_sold,4,2285.0,3.0
MPORWM1HYP02DC,Fresh,fresh_sold,0,0.0,2.0
MPORWM1HYP02DC,Fresh,fresh_sold,1,68.0,2.0
MPORWM1HYP02DC,Fresh,fresh_sold,2,68.0,2.0
MPORWM1HYP02DC,Fresh,fresh_sold,3,68.0,2.0
MPORWM1HYP02DC,Fresh,fresh_sold,4,68.0,2.0
MPORWM4BPRETDC,Fresh,fresh_sold,0,0.0,2.0
MPORWM4BPRETDC,Fresh,fresh_sold,1,11.0,2.0
MPORWM4BPRETDC,Fresh,fresh_sold,2,11.0,2.0
MPORWM4BPRETDC,Fresh,fresh_sold,3,11.0,2.0
MPORWM4BPRETDC,Fresh,fresh_sold,4,11.0,2.0
CTH015180P12DC,Fresh,fresh_sold,0,0.0,2.0
CTH015180P12DC,Fresh,fresh_sold,1,0.0,2.0
