Products,ProdType,keyfigure,Days,Value
CRB015190K02DC,Fresh,fresh_sold,1,0
CRB015190K02DC,Fresh,fresh_sold,2,0
CRB015190K02DC,Fresh,fresh_sold,3,1
CRB015190K02DC,Fresh,fresh_sold,4,0
C9PCWBM20P18DC,Fresh,fresh_sold,0,0
C9PCWBM20P18DC,Fresh,fresh_sold,1,2
C9PCWBM20P18DC,Fresh,fresh_sold,2,2
C9PCWBM20P18DC,Fresh,fresh_sold,3,2
C9PCWBM20P18DC,Fresh,fresh_sold,4,0
BLG0F0000K02DC,Fresh,fresh_sold,0,0
BLG0F0000K02DC,Fresh,fresh_sold,1,77
BLG0F0000K02DC,Fresh,fresh_sold,2,77
BLG0F0000K02DC,Fresh,fresh_sold,3,77
BLG0F0000K02DC,Fresh,fresh_sold,4,77
PDMTF0000K02DC,Fresh,fresh_sold,0,0
PDMTF0000K02DC,Fresh,fresh_sold,1,189
PDMTF0000K02DC,Fresh,fresh_sold,2,172
PDMTF0000K02DC,Fresh,fresh_sold,3,196
PDMTF0000K02DC,Fresh,fresh_sold,4,201
C3JW0913VP06DC,Fresh,fresh_sold,0,0
C3JW0913VP06DC,Fresh,fresh_sold,1,0
C3JW0913VP06DC,Fresh,fresh_sold,2,0
C3JW0913VP06DC,Fresh,fresh_sold,3,0
C3JW0913VP06DC,Fresh,fresh_sold,4,0
CKE01218VP04DC,Fresh,fresh_sold,0,0
CKE01218VP04DC,Fresh,fresh_sold,1,0
CKE01218VP04DC,Fresh,fresh_sold,2,0
CKE01218VP04DC,Fresh,fresh_sold,3,0
CKE01218VP04DC,Fresh,fresh_sold,4,0
CRB015190K06DC,Fresh,fresh_sold,0,0
CRB015190K06DC,Fresh,fresh_sold,1,0
CRB015190K06DC,Fresh,fresh_sold,2,0
CRB015190K06DC,Fresh,fresh_sold,3,1
CRB015190K06DC,Fresh,fresh_sold,4,0
CRB019240K02DC,Fresh,fresh_sold,0,0
CRB019240K02DC,Fresh,fresh_sold,1,231
CRB019240K02DC,Fresh,fresh_sold,2,253
CRB019240K02DC,Fresh,fresh_sold,3,253
CRB019240K02DC,Fresh,fresh_sold,4,244
BBRSF3540K02DC,Fresh,fresh_sold,0,0
BBRSF3540K02DC,Fresh,fresh_sold,1,0
BBRSF3540K02DC,Fresh,fresh_sold,2,0
BBRSF3540K02DC,Fresh,fresh_sold,3,0
BBRSF3540K02DC,Fresh,fresh_sold,4,0
BBRSF0000K02DC,Fresh,fresh_sold,0,0
BBRSF0000K02DC,Fresh,fresh_sold,1,113
BBRSF0000K02DC,Fresh,fresh_sold,2,113
BBRSF0000K02DC,Fresh,fresh_sold,3,113
BBRSF0000K02DC,Fresh,fresh_sold,4,113
BCH019220K02DC,Fresh,fresh_sold,0,0
BCH019220K02DC,Fresh,fresh_sold,1,0
BCH019220K02DC,Fresh,fresh_sold,2,0
BCH019220K02DC,Fresh,fresh_sold,3,0
BCH019220K02DC,Fresh,fresh_sold,4,0
CRB019240K06DC,Fresh,fresh_sold,0,0
CRB019240K06DC,Fresh,fresh_sold,1,0
CRB019240K06DC,Fresh,fresh_sold,2,0
CRB019240K06DC,Fresh,fresh_sold,3,1
CRB019240K06DC,Fresh,fresh_sold,4,0
BFL0F0000K02DC,Fresh,fresh_sold,0,0
BFL0F0000K02DC,Fresh,fresh_sold,1,429
BFL0F0000K02DC,Fresh,fresh_sold,2,429
BFL0F0000K02DC,Fresh,fresh_sold,3,405
BFL0F0000K02DC,Fresh,fresh_sold,4,429
CCHICU000K06DC,Fresh,fresh_sold,0,0
CCHICU000K06DC,Fresh,fresh_sold,1,0
CCHICU000K06DC,Fresh,fresh_sold,2,0
CCHICU000K06DC,Fresh,fresh_sold,3,19
CCHICU000K06DC,Fresh,fresh_sold,4,17
BLGSF0000K02DC,Fresh,fresh_sold,0,0
BLGSF0000K02DC,Fresh,fresh_sold,1,5
BLGSF0000K02DC,Fresh,fresh_sold,2,5
BLGSF0000K02DC,Fresh,fresh_sold,3,4
BLGSF0000K02DC,Fresh,fresh_sold,4,4
BTH005565K06DC,Fresh,fresh_sold,0,0
BTH005565K06DC,Fresh,fresh_sold,1,0
BTH005565K06DC,Fresh,fresh_sold,2,0
BTH005565K06DC,Fresh,fresh_sold,3,0
BTH005565K06DC,Fresh,fresh_sold,4,0
BTHSMF02CK02DC,Fresh,fresh_sold,0,0
BTHSMF02CK02DC,Fresh,fresh_sold,1,0
BTHSMF02CK02DC,Fresh,fresh_sold,2,0
BTHSMF02CK02DC,Fresh,fresh_sold,3,0
BTHSMF02CK02DC,Fresh,fresh_sold,4,0
C3JW09120K04DC,Fresh,fresh_sold,0,0
C3JW09120K04DC,Fresh,fresh_sold,1,0
C3JW09120K04DC,Fresh,fresh_sold,2,0
C3JW09120K04DC,Fresh,fresh_sold,3,0
C3JW09120K04DC,Fresh,fresh_sold,4,0
BTHSMF0FFK04DC,Fresh,fresh_sold,0,0
BTHSMF0FFK04DC,Fresh,fresh_sold,1,202
BTHSMF0FFK04DC,Fresh,fresh_sold,2,202
BTHSMF0FFK04DC,Fresh,fresh_sold,3,202
BTHSMF0FFK04DC,Fresh,fresh_sold,4,201
BBRS1823FK02DC,Fresh,fresh_sold,0,0
BBRS1823FK02DC,Fresh,fresh_sold,1,0
BBRS1823FK02DC,Fresh,fresh_sold,2,0
BBRS1823FK02DC,Fresh,fresh_sold,3,0
BBRS1823FK02DC,Fresh,fresh_sold,4,0
C3JW09130K02DC,Fresh,fresh_sold,0,0
C3JW09130K02DC,Fresh,fresh_sold,1,0
C3JW09130K02DC,Fresh,fresh_sold,2,31
C3JW09130K02DC,Fresh,fresh_sold,3,29
C3JW09130K02DC,Fresh,fresh_sold,4,96
BFL003540K02DC,Fresh,fresh_sold,0,0
BFL003540K02DC,Fresh,fresh_sold,1,0
BFL003540K02DC,Fresh,fresh_sold,2,0
BFL003540K02DC,Fresh,fresh_sold,3,0
BFL003540K02DC,Fresh,fresh_sold,4,0
C3JW00BRUK02DC,Fresh,fresh_sold,0,0
C3JW00BRUK02DC,Fresh,fresh_sold,1,0
C3JW00BRUK02DC,Fresh,fresh_sold,2,0
C3JW00BRUK02DC,Fresh,fresh_sold,3,0
C3JW00BRUK02DC,Fresh,fresh_sold,4,0
CTH016210K02DC,Fresh,fresh_sold,0,0
CTH016210K02DC,Fresh,fresh_sold,1,0
CTH016210K02DC,Fresh,fresh_sold,2,0
CTH016210K02DC,Fresh,fresh_sold,3,0
CTH016210K02DC,Fresh,fresh_sold,4,0
CDS010140K02DC,Fresh,fresh_sold,0,0
CDS010140K02DC,Fresh,fresh_sold,1,0
CDS010140K02DC,Fresh,fresh_sold,2,0
CDS010140K02DC,Fresh,fresh_sold,3,471
CDS010140K02DC,Fresh,fresh_sold,4,471
CDS008110K02DC,Fresh,fresh_sold,0,0
CDS008110K02DC,Fresh,fresh_sold,1,749
CDS008110K02DC,Fresh,fresh_sold,2,750
CDS008110K02DC,Fresh,fresh_sold,3,737
CDS008110K02DC,Fresh,fresh_sold,4,748
CDS01014VP06DC,Fresh,fresh_sold,0,0
CDS01014VP06DC,Fresh,fresh_sold,1,0
CDS01014VP06DC,Fresh,fresh_sold,2,0
CDS01014VP06DC,Fresh,fresh_sold,3,0
CDS01014VP06DC,Fresh,fresh_sold,4,0
CCHICU000K02DC,Fresh,fresh_sold,0,0
CCHICU000K02DC,Fresh,fresh_sold,1,8
CCHICU000K02DC,Fresh,fresh_sold,2,9
CCHICU000K02DC,Fresh,fresh_sold,3,9
CCHICU000K02DC,Fresh,fresh_sold,4,9
PDMTMF000150DC,Fresh,fresh_sold,0,0
PDMTMF000150DC,Fresh,fresh_sold,1,189
PDMTMF000150DC,Fresh,fresh_sold,2,172
PDMTMF000150DC,Fresh,fresh_sold,3,196
PDMTMF000150DC,Fresh,fresh_sold,4,201
CTH013160K02DC,Fresh,fresh_sold,0,0
CTH013160K02DC,Fresh,fresh_sold,1,404
CTH013160K02DC,Fresh,fresh_sold,2,423
CTH013160K02DC,Fresh,fresh_sold,3,423
CTH013160K02DC,Fresh,fresh_sold,4,423
C3JW07100K02DC,Fresh,fresh_sold,0,0
C3JW07100K02DC,Fresh,fresh_sold,1,0
C3JW07100K02DC,Fresh,fresh_sold,2,0
C3JW07100K02DC,Fresh,fresh_sold,3,0
C3JW07100K02DC,Fresh,fresh_sold,4,0
BBRS07595P24DC,Fresh,fresh_sold,0,0
BBRS07595P24DC,Fresh,fresh_sold,1,0
BBRS07595P24DC,Fresh,fresh_sold,2,0
BBRS07595P24DC,Fresh,fresh_sold,3,0
BBRS07595P24DC,Fresh,fresh_sold,4,0
BTHSF0000K02DC,Fresh,fresh_sold,0,0
BTHSF0000K02DC,Fresh,fresh_sold,1,1
BTHSF0000K02DC,Fresh,fresh_sold,2,1
BTHSF0000K02DC,Fresh,fresh_sold,3,1
BTHSF0000K02DC,Fresh,fresh_sold,4,1
CTH015180P12DC,Fresh,fresh_sold,0,0
CTH015180P12DC,Fresh,fresh_sold,1,0
CTH015180P12DC,Fresh,fresh_sold,2,0
CTH015180P12DC,Fresh,fresh_sold,3,0
CTH015180P12DC,Fresh,fresh_sold,4,0
BBRS1821FK02DC,Fresh,fresh_sold,0,0
BBRS1821FK02DC,Fresh,fresh_sold,1,0
BBRS1821FK02DC,Fresh,fresh_sold,2,0
BBRS1821FK02DC,Fresh,fresh_sold,3,0
BBRS1821FK02DC,Fresh,fresh_sold,4,0
C9PCGCH00P18DC,Fresh,fresh_sold,0,0
C9PCGCH00P18DC,Fresh,fresh_sold,1,0
C9PCGCH00P18DC,Fresh,fresh_sold,2,0
C9PCGCH00P18DC,Fresh,fresh_sold,3,0
C9PCGCH00P18DC,Fresh,fresh_sold,4,0
CTH01621VP04DC,Fresh,fresh_sold,0,0
CTH01621VP04DC,Fresh,fresh_sold,1,0
CTH01621VP04DC,Fresh,fresh_sold,2,0
CTH01621VP04DC,Fresh,fresh_sold,3,0
CTH01621VP04DC,Fresh,fresh_sold,4,0
C4PC00000P08DC,Fresh,fresh_sold,0,0
C4PC00000P08DC,Fresh,fresh_sold,1,338
C4PC00000P08DC,Fresh,fresh_sold,2,339
C4PC00000P08DC,Fresh,fresh_sold,3,339
C4PC00000P08DC,Fresh,fresh_sold,4,339
C9PC00000P18DC,Fresh,fresh_sold,0,0
C9PC00000P18DC,Fresh,fresh_sold,1,0
C9PC00000P18DC,Fresh,fresh_sold,2,0
C9PC00000P18DC,Fresh,fresh_sold,3,0
C9PC00000P18DC,Fresh,fresh_sold,4,0
BTHSMF000K04DC,Fresh,fresh_sold,0,0
BTHSMF000K04DC,Fresh,fresh_sold,1,131
BTHSMF000K04DC,Fresh,fresh_sold,2,131
BTHSMF000K04DC,Fresh,fresh_sold,3,131
BTHSMF000K04DC,Fresh,fresh_sold,4,131
CBRSH2332P10DC,Fresh,fresh_sold,0,0
CBRSH2332P10DC,Fresh,fresh_sold,1,4073
CBRSH2332P10DC,Fresh,fresh_sold,2,4073
CBRSH2332P10DC,Fresh,fresh_sold,3,4069
CBRSH2332P10DC,Fresh,fresh_sold,4,4073
BTH009100K06DC,Fresh,fresh_sold,0,0
BTH009100K06DC,Fresh,fresh_sold,1,0
BTH009100K06DC,Fresh,fresh_sold,2,0
BTH009100K06DC,Fresh,fresh_sold,3,0
BTH009100K06DC,Fresh,fresh_sold,4,0
CTH016190K02DC,Fresh,fresh_sold,0,0
CTH016190K02DC,Fresh,fresh_sold,1,0
CTH016190K02DC,Fresh,fresh_sold,2,0
CTH016190K02DC,Fresh,fresh_sold,3,0
CTH016190K02DC,Fresh,fresh_sold,4,0
BTH0F0000K02DC,Fresh,fresh_sold,0,0
BTH0F0000K02DC,Fresh,fresh_sold,1,0
BTH0F0000K02DC,Fresh,fresh_sold,2,0
BTH0F0000K02DC,Fresh,fresh_sold,3,0
BTH0F0000K02DC,Fresh,fresh_sold,4,0
BLG018230K02DC,Fresh,fresh_sold,0,0
BLG018230K02DC,Fresh,fresh_sold,1,0
BLG018230K02DC,Fresh,fresh_sold,2,0
BLG018230K02DC,Fresh,fresh_sold,3,0
BLG018230K02DC,Fresh,fresh_sold,4,0
BBRS16180K05DC,Fresh,fresh_sold,0,0
BBRS16180K05DC,Fresh,fresh_sold,1,0
BBRS16180K05DC,Fresh,fresh_sold,2,0
BBRS16180K05DC,Fresh,fresh_sold,3,0
BBRS16180K05DC,Fresh,fresh_sold,4,0
PMJWF0000K02DC,Fresh,fresh_sold,0,0
PMJWF0000K02DC,Fresh,fresh_sold,1,3
PMJWF0000K02DC,Fresh,fresh_sold,2,3
PMJWF0000K02DC,Fresh,fresh_sold,3,3
PMJWF0000K02DC,Fresh,fresh_sold,4,3
CDS010140P20DC,Fresh,fresh_sold,0,0
CDS010140P20DC,Fresh,fresh_sold,1,22
CDS010140P20DC,Fresh,fresh_sold,2,22
CDS010140P20DC,Fresh,fresh_sold,3,22
CDS010140P20DC,Fresh,fresh_sold,4,22
P3JW08100K02DC,Fresh,fresh_sold,0,0
P3JW08100K02DC,Fresh,fresh_sold,1,47
P3JW08100K02DC,Fresh,fresh_sold,2,47
P3JW08100K02DC,Fresh,fresh_sold,3,47
P3JW08100K02DC,Fresh,fresh_sold,4,47
BTH007585K04DC,Fresh,fresh_sold,0,0
BTH007585K04DC,Fresh,fresh_sold,1,247
BTH007585K04DC,Fresh,fresh_sold,2,247
BTH007585K04DC,Fresh,fresh_sold,3,247
BTH007585K04DC,Fresh,fresh_sold,4,247
BBRS2325FK06DC,Fresh,fresh_sold,0,0
BBRS2325FK06DC,Fresh,fresh_sold,1,0
BBRS2325FK06DC,Fresh,fresh_sold,2,0
BBRS2325FK06DC,Fresh,fresh_sold,3,0
BBRS2325FK06DC,Fresh,fresh_sold,4,0
CDS0J0000K02DF,Frozen,frozen_sold,0,0
CDS0J0000K02DF,Frozen,frozen_sold,1,5
CDS0J0000K02DF,Frozen,frozen_sold,2,5
CDS0J0000K02DF,Frozen,frozen_sold,3,5
CDS0J0000K02DF,Frozen,frozen_sold,4,5
P3JW00BRUK02DF,Frozen,frozen_sold,0,0
P3JW00BRUK02DF,Frozen,frozen_sold,1,120
P3JW00BRUK02DF,Frozen,frozen_sold,2,120
P3JW00BRUK02DF,Frozen,frozen_sold,3,120
P3JW00BRUK02DF,Frozen,frozen_sold,4,120
CKE0F0000K02DF,Frozen,frozen_sold,0,0
CKE0F0000K02DF,Frozen,frozen_sold,1,140
CKE0F0000K02DF,Frozen,frozen_sold,2,140
CKE0F0000K02DF,Frozen,frozen_sold,3,140
CKE0F0000K02DF,Frozen,frozen_sold,4,140
BTHS07595P24DF,Frozen,frozen_sold,0,0
BTHS07595P24DF,Frozen,frozen_sold,1,431
BTHS07595P24DF,Frozen,frozen_sold,2,431
BTHS07595P24DF,Frozen,frozen_sold,3,431
BTHS07595P24DF,Frozen,frozen_sold,4,431
PDMT04050K02DF,Frozen,frozen_sold,0,0
PDMT04050K02DF,Frozen,frozen_sold,1,143
PDMT04050K02DF,Frozen,frozen_sold,2,143
PDMT04050K02DF,Frozen,frozen_sold,3,143
PDMT04050K02DF,Frozen,frozen_sold,4,143
BTH0CU020K02DF,Frozen,frozen_sold,0,0
BTH0CU020K02DF,Frozen,frozen_sold,1,36
BTH0CU020K02DF,Frozen,frozen_sold,2,36
BTH0CU020K02DF,Frozen,frozen_sold,3,36
BTH0CU020K02DF,Frozen,frozen_sold,4,36
P3JW07090K02DF,Frozen,frozen_sold,0,0
P3JW07090K02DF,Frozen,frozen_sold,1,128
P3JW07090K02DF,Frozen,frozen_sold,2,128
P3JW07090K02DF,Frozen,frozen_sold,3,128
P3JW07090K02DF,Frozen,frozen_sold,4,128
PMJWMF000150DF,Frozen,frozen_sold,0,0
PMJWMF000150DF,Frozen,frozen_sold,1,0
PMJWMF000150DF,Frozen,frozen_sold,2,0
PMJWMF000150DF,Frozen,frozen_sold,3,0
PMJWMF000150DF,Frozen,frozen_sold,4,0
CLG026340K06DF,Frozen,frozen_sold,0,0
CLG026340K06DF,Frozen,frozen_sold,1,22
CLG026340K06DF,Frozen,frozen_sold,2,22
CLG026340K06DF,Frozen,frozen_sold,3,22
CLG026340K06DF,Frozen,frozen_sold,4,22
CDS0S0000K02DF,Frozen,frozen_sold,0,0
CDS0S0000K02DF,Frozen,frozen_sold,1,41
CDS0S0000K02DF,Frozen,frozen_sold,2,41
CDS0S0000K02DF,Frozen,frozen_sold,3,41
CDS0S0000K02DF,Frozen,frozen_sold,4,41
CLG022270P10DF,Frozen,frozen_sold,0,0
CLG022270P10DF,Frozen,frozen_sold,1,71
CLG022270P10DF,Frozen,frozen_sold,2,71
CLG022270P10DF,Frozen,frozen_sold,3,71
CLG022270P10DF,Frozen,frozen_sold,4,71
BLGS07595P24DF,Frozen,frozen_sold,0,0
BLGS07595P24DF,Frozen,frozen_sold,1,1
BLGS07595P24DF,Frozen,frozen_sold,2,1
BLGS07595P24DF,Frozen,frozen_sold,3,1
BLGS07595P24DF,Frozen,frozen_sold,4,1
CRB01924VP04DF,Frozen,frozen_sold,0,0
CRB01924VP04DF,Frozen,frozen_sold,1,1
CRB01924VP04DF,Frozen,frozen_sold,2,1
CRB01924VP04DF,Frozen,frozen_sold,3,1
CRB01924VP04DF,Frozen,frozen_sold,4,1
CLG022270K06DF,Frozen,frozen_sold,0,0
CLG022270K06DF,Frozen,frozen_sold,1,33
CLG022270K06DF,Frozen,frozen_sold,2,33
CLG022270K06DF,Frozen,frozen_sold,3,33
CLG022270K06DF,Frozen,frozen_sold,4,33
BBRSMF000K04DF,Frozen,frozen_sold,0,0
BBRSMF000K04DF,Frozen,frozen_sold,1,0
BBRSMF000K04DF,Frozen,frozen_sold,2,0
BBRSMF000K04DF,Frozen,frozen_sold,3,0
BBRSMF000K04DF,Frozen,frozen_sold,4,0
BBR0F0000K02DF,Frozen,frozen_sold,0,0
BBR0F0000K02DF,Frozen,frozen_sold,1,22
BBR0F0000K02DF,Frozen,frozen_sold,2,22
BBR0F0000K02DF,Frozen,frozen_sold,3,22
BBR0F0000K02DF,Frozen,frozen_sold,4,22
C3JWL0000K02DF,Frozen,frozen_sold,0,0
C3JWL0000K02DF,Frozen,frozen_sold,1,185
C3JWL0000K02DF,Frozen,frozen_sold,2,185
C3JWL0000K02DF,Frozen,frozen_sold,3,185
C3JWL0000K02DF,Frozen,frozen_sold,4,185
CDS0CU000K02DF,Frozen,frozen_sold,0,0
CDS0CU000K02DF,Frozen,frozen_sold,1,35
CDS0CU000K02DF,Frozen,frozen_sold,2,35
CDS0CU000K02DF,Frozen,frozen_sold,3,35
CDS0CU000K02DF,Frozen,frozen_sold,4,35
CRB015190K02DF,Frozen,frozen_sold,0,0
CRB015190K02DF,Frozen,frozen_sold,1,79
CRB015190K02DF,Frozen,frozen_sold,2,79
CRB015190K02DF,Frozen,frozen_sold,3,79
CRB015190K02DF,Frozen,frozen_sold,4,79
C9PCWBM20P18DF,Frozen,frozen_sold,0,0
C9PCWBM20P18DF,Frozen,frozen_sold,1,66
C9PCWBM20P18DF,Frozen,frozen_sold,2,66
C9PCWBM20P18DF,Frozen,frozen_sold,3,66
C9PCWBM20P18DF,Frozen,frozen_sold,4,66
BLG0F0000K02DF,Frozen,frozen_sold,0,0
BLG0F0000K02DF,Frozen,frozen_sold,1,4
BLG0F0000K02DF,Frozen,frozen_sold,2,4
BLG0F0000K02DF,Frozen,frozen_sold,3,4
BLG0F0000K02DF,Frozen,frozen_sold,4,4
PDMTF0000K02DF,Frozen,frozen_sold,0,0
PDMTF0000K02DF,Frozen,frozen_sold,1,132
PDMTF0000K02DF,Frozen,frozen_sold,2,132
PDMTF0000K02DF,Frozen,frozen_sold,3,132
PDMTF0000K02DF,Frozen,frozen_sold,4,132
C3JW0913VP06DF,Frozen,frozen_sold,0,0
C3JW0913VP06DF,Frozen,frozen_sold,1,3
C3JW0913VP06DF,Frozen,frozen_sold,2,3
C3JW0913VP06DF,Frozen,frozen_sold,3,3
C3JW0913VP06DF,Frozen,frozen_sold,4,3
CKE01218VP04DF,Frozen,frozen_sold,0,0
CKE01218VP04DF,Frozen,frozen_sold,1,1
CKE01218VP04DF,Frozen,frozen_sold,2,1
CKE01218VP04DF,Frozen,frozen_sold,3,1
CKE01218VP04DF,Frozen,frozen_sold,4,1
CRB015190K06DF,Frozen,frozen_sold,0,0
CRB015190K06DF,Frozen,frozen_sold,1,0
CRB015190K06DF,Frozen,frozen_sold,2,0
CRB015190K06DF,Frozen,frozen_sold,3,0
CRB015190K06DF,Frozen,frozen_sold,4,0
CRB019240K02DF,Frozen,frozen_sold,0,0
CRB019240K02DF,Frozen,frozen_sold,1,124
CRB019240K02DF,Frozen,frozen_sold,2,124
CRB019240K02DF,Frozen,frozen_sold,3,124
CRB019240K02DF,Frozen,frozen_sold,4,124
BBRSF3540K02DF,Frozen,frozen_sold,0,0
BBRSF3540K02DF,Frozen,frozen_sold,1,44
BBRSF3540K02DF,Frozen,frozen_sold,2,44
BBRSF3540K02DF,Frozen,frozen_sold,3,44
BBRSF3540K02DF,Frozen,frozen_sold,4,44
BBRSF0000K02DF,Frozen,frozen_sold,0,0
BBRSF0000K02DF,Frozen,frozen_sold,1,84
BBRSF0000K02DF,Frozen,frozen_sold,2,84
BBRSF0000K02DF,Frozen,frozen_sold,3,84
BBRSF0000K02DF,Frozen,frozen_sold,4,84
BCH019220K02DF,Frozen,frozen_sold,0,0
BCH019220K02DF,Frozen,frozen_sold,1,538
BCH019220K02DF,Frozen,frozen_sold,2,538
BCH019220K02DF,Frozen,frozen_sold,3,538
BCH019220K02DF,Frozen,frozen_sold,4,538
CRB019240K06DF,Frozen,frozen_sold,0,0
CRB019240K06DF,Frozen,frozen_sold,1,0
CRB019240K06DF,Frozen,frozen_sold,2,0
CRB019240K06DF,Frozen,frozen_sold,3,0
CRB019240K06DF,Frozen,frozen_sold,4,0
BFL0F0000K02DF,Frozen,frozen_sold,0,0
BFL0F0000K02DF,Frozen,frozen_sold,1,232
BFL0F0000K02DF,Frozen,frozen_sold,2,232
BFL0F0000K02DF,Frozen,frozen_sold,3,232
BFL0F0000K02DF,Frozen,frozen_sold,4,232
CCHICU000K06DF,Frozen,frozen_sold,0,0
CCHICU000K06DF,Frozen,frozen_sold,1,370
CCHICU000K06DF,Frozen,frozen_sold,2,370
CCHICU000K06DF,Frozen,frozen_sold,3,370
CCHICU000K06DF,Frozen,frozen_sold,4,370
BLGSF0000K02DF,Frozen,frozen_sold,0,0
BLGSF0000K02DF,Frozen,frozen_sold,1,16
BLGSF0000K02DF,Frozen,frozen_sold,2,16
BLGSF0000K02DF,Frozen,frozen_sold,3,16
BLGSF0000K02DF,Frozen,frozen_sold,4,16
BTH005565K06DF,Frozen,frozen_sold,0,0
